Id,Nomeclaturado,Ubicacion Switch,No. patch Panel,No. Puerto Patch Panel,No. Switch,Serie Switch,Puerto Switch,Tipo de Equipo,Administracion,Area,Vlan,Actividad,Observaiones,Situacion Nodo 
1,IDF10-01-D89,IDF1,PP4,89,2-IDF-P/A,FDO1522R1YM,14,1,6,Subadministrador,12,1,,1
2,IDF10-01-D88,IDF1,PP2,88,2-IDF-P/B,FDO1522R1YM,33,1,6,Subadministrador,12,1,,1
3,IDF10-01-D136,IDF1,PP4,136,2-IDF-P/B,FDO1522R1YM,5,3,6,Humanos,12,1,,1
4,IDF10-01-D111,IDF1,PP5,111,2-IDF-P/B,FDO1522R1YM,27,1,6,Subadministrador,12,1,,1
5,IDF10-01-D131,IDF1,VACIO,VACIO,VACIO,VACIO,VACIO,5,9,VACIO,VACIO,4,,2
6,IDF10-01-D37,IDF1,VACIO,VACIO,VACIO,VACIO,VACIO,5,9,VACIO,VACIO,4,,2
7,IDF10-01-D95,IDF1,VACIO,VACIO,VACIO,VACIO,VACIO,5,9,VACIO,VACIO,4,,2
8,MDF1MZA-01-D101,MDF,PP5,101,1-MDF-MZN,CAT1015Z1QN,46,3,7,Sala de internet,24,3,,1
9,MDF1MZA-01-D102,MDF,PP5,102,2-MDF-MZN,FDOC541R1UC,16,3,7,Serv. al contribuyente,40,3,,1
10,MDF1MZA-01-D100,MDF,PP5,100,2-MDF-MZN,FDOC541R1UC,11,3,7,Sala de internet,24,3,,1
11,MDF1MZA-01-D107,MDF,VACIO,VACIO,VACIO,VACIO,VACIO,5,9,VACIO,VACIO,4,,2
12,MDF1MZA-01-D125,MDF,VACIO,VACIO,VACIO,VACIO,VACIO,5,9,VACIO,VACIO,4,,2
13,MDF1MZA-01-D130,MDF,VACIO,VACIO,VACIO,VACIO,VACIO,5,9,VACIO,VACIO,4,,2
14,IDF11-02-D10,IDF2,PP1,10,5-IDF-P/A,FDO1522V1F7,5,3,5,Recaudacion,24,2,,1
15,IDF11-02-D11,IDF2,PP1,11,4-IDF-P/A,FDO1522P1E5,10,3,2,Control,24,2,,1
16,IDF11-02-D12,IDF2,PP1,12,5-IDF-P/A,FDO1522V1F7,4,1,5,Recaudacion,24,2,,1
17,IDF11-02-D251,IDF2,VACIO,VACIO,VACIO,VACIO,VACIO,5,9,VACIO,VACIO,4,,2
18,IDF11-02-D350,IDF2,VACIO,VACIO,VACIO,VACIO,VACIO,5,9,VACIO,VACIO,4,,2
